"russian_name","foreign_name","href","director","country","country2","year","duration","duration2","announced_name","announced_features"
"БРАК ВТРОЕМ","","http://www.kinohorosho.ru/node/27","Жак Дуайон","Франция","not mixed",2010,100,"not short","Брак втроем",", 2010, 100 мин."
"БЫСТРО И БЕЗ БОЛИ","KURZ UND SCHMERZLOS","http://www.kinohorosho.ru/node/479","Фатих Акин","Германия","not mixed",1998,100,"not short","БЫСТРО И БЕЗ БОЛИ KURZ UND SCHMERZLOS",", 1998, 100 мин."
"ЛЮБОВНЫЕ ПРИКЛЮЧЕНИЯ БЛОНДИНКИ","","http://www.kinohorosho.ru/node/443","Милош Форман","Чехословакия","not mixed",1965,100,"not short","ЛЮБОВНЫЕ ПРИКЛЮЧЕНИЯ БЛОНДИНКИ",", 1965, 100 мин."
"МОЛОДОЙ ЛЕЙТЕНАНТ","","http://www.kinohorosho.ru/node/33","Ксавье Бовуа","Франция","not mixed",2005,110,"not short","МОЛОДОЙ ЛЕЙТЕНАНТ",", 2005, 110 мин."
"НЕНЕТТ","","http://www.kinohorosho.ru/node/30","Николя Филибер","Франция","not mixed",2010,70,"not short","Ненетт",", 2010, 70 мин."
"НЕФТЯКИ","","http://www.kinohorosho.ru/node/440","Ян Сверак","Чехословакия","not mixed",1988,20,"short","НЕФТЯКИ",", 1988, 20 мин."
"ПРЕДАТЕЛЬСТВО","","http://www.kinohorosho.ru/node/684","Филипп Фокон","Франция-Бельгия","mixed",2005,80,"not short","ПРЕДАТЕЛЬСТВО",", 2005, 80 мин."
"ПРИНЦЫ И ПРИНЦЕССЫ","","http://www.kinohorosho.ru/node/416","Мишел Осело","Франция","not mixed",2000,70,"not short","ПРИНЦЫ И ПРИНЦЕССЫ",", 2000, 70 мин."
"ЕЕ ЗОВУТ САБИНА","ELLE S'APPELLE SABINE","http://www.kinohorosho.ru/node/730","Сандрин Боннэр","Франция","not mixed",2007,85,"not short","ЕЕ ЗОВУТ САБИНА ELLE S'APPELLE SABINE  ","Франция, 2007, 85 мин."
"ЕСЛИ ТЫ – ТА","FEI CHENG WU RAO","http://www.kinohorosho.ru/node/698","Фэн Сяоган","Китай","not mixed",2008,125,"not short","ЕСЛИ ТЫ – ТАFEI CHENG WU RAO   ","Китай, 2008, 125 мин."
"ЭТА ПРЕКРАСНАЯ ЖИЗНЬ","IT'S A WONDERFUL LIFE","http://www.kinohorosho.ru/node/1328","Франк Капра","США","not mixed",1947,130,"not short","Эта прекрасная жизньIt's a Wonderful Life","США, 1947, 130 мин."
"Я – КУБА","SOY CUBA","http://www.kinohorosho.ru/node/909","Михаил Калатозов, Оператор Сергей Урусевский","Куба-СССР","mixed",1964,140,"not short","Я – КУБА SOY CUBA","Куба-СССР, 1964, 140 мин."
"Я – НАЧАЛО","I ORIGINS","http://www.kinohorosho.ru/node/1045","Майк Кэхилл","США","not mixed",2014,108,"not short","Я – НАЧАЛОI ORIGINS","США, 2014, 108 мин."
"БАББА ХО-ТЕП",NA,"http://www.kinohorosho.ru/node/26","Дон Коскарелли","США","not mixed",2002,89,"not short","БАББА ХО-ТЕП","США, 2002, 89 мин."
"БАФФАЛО 66","BUFFALO '66","http://www.kinohorosho.ru/node/1133","Винсент Галло","США-Канада","mixed",1998,110,"not short","БАФФАЛО 66BUFFALO '66","США-Канада, 1998, 110 мин."
"ГАНГБЭ!","GANGBE!","http://www.kinohorosho.ru/node/1025","Арно Робер","Швейцария","not mixed",2015,85,"not short","ГАНГБЭ!GANGBE!","Швейцария, 2015, 85 мин."
"ГЕДЕОН РИХТЕР","NEM TŰNTEM EL - RICHTER GEDEON","http://www.kinohorosho.ru/node/1322","Давид Спах","Венгрия","not mixed",2014,63,"not short","ГЕДЕОН РИХТЕРNEM TŰNTEM EL - RICHTER GEDEON","Венгрия, 2014, 63 мин."
"ДВА ДУРАКА, КОТОРЫЕ СОВСЕМ НЕ ДУРАКИ",NA,"http://www.kinohorosho.ru/node/970","Андрей Титов","Россия","not mixed",2014,40,"short","ДВА ДУРАКА, КОТОРЫЕ СОВСЕМ НЕ ДУРАКИ","Россия, 2014, 40 мин."
"ДЕВОЧКА, МАТЬ И ДЕМОНЫ","FLICKAN, MAMMAN OCH DEMONERNA","http://www.kinohorosho.ru/node/1130","Сюзанне Остен","Швеция","not mixed",2016,92,"not short","ДЕВОЧКА, МАТЬ И ДЕМОНЫFLICKAN, MAMMAN OCH DEMONERNA","Швеция, 2016, 92 мин."
"ЖАННЕТТ: ДЕТСТВО ЖАННЫ Д'АРК","JEANNETTE, L'ENFANCE DE JEANNE D'ARC","http://www.kinohorosho.ru/node/1467","Брюно Дюмон","Франция","not mixed",2017,105,"not short","ЖАННЕТТ: ДЕТСТВО ЖАННЫ Д'АРКJEANNETTE, L'ENFANCE DE JEANNE D'ARC","Франция, 2017, 105 мин."
"ЗА НАШИХ ЛЮБИМЫХ","À NOS AMOURS","http://www.kinohorosho.ru/node/735","Морис Пиала","Франция","not mixed",1983,102,"not short","ЗА НАШИХ ЛЮБИМЫХ À NOS AMOURS.  ","Франция, 1983, 102 мин."
"ЗАВТРАК НА ТРАВЕ","LE DEJEUNER SUR L'HERBE","http://www.kinohorosho.ru/node/599","Жан Ренуар","Франция","not mixed",1959,89,"not short","ЗАВТРАК НА ТРАВЕLE DEJEUNER SUR L'HERBE  ","Франция, 1959, 89 мин."
